Name,Price(INR),Price(USD),Link
ESP32 WROOM,320,3.695150115,https://ebhoot.in/shop-2/esp-wifi-boards/esp32-development-board-type-c-usb-ch340c-wifi-bluetooth-ultra-low-power-dual-core/
TT DC Motor,308,3.556581986,https://www.amazon.in/gp/product/B078NYD1MZ/ref=ewc_pr_img_1?smid=AJ6SIZC8YQDZX&psc=1
Battery 3.7V (3xPack of 2),546,6.304849885,https://www.importdukan.com/li-ion-18650-3.7v-2600mah-battery-3c?search=battery+3.7
ESP32 Camera,1040,12.00923788,https://www.amazon.in/ESP32-Module-Bluetooth-OV2640-Camera/dp/B0BRXKNLFG/ref=sr_1_9?sr=8-9
Battery Holder (2x3 cell),58,0.6697459584,https://ebhoot.in/shop-2/power-supply/battery-battery-holder/18650-battery-holder-for-lithium-ion-3-cell/
L298D Motor Driver,78,0.9006928406,https://ebhoot.in/shop-2/electronics-modules/motor-driver-modules/l298-2a-dual-motor-driver-module-with-pwm-control/
TP4056 USB-C Charging Module (x2),32,0.3695150115,https://ebhoot.in/shop-2/electronics-modules/bms-module-battery-charging-module/tp4056-1a-li-ion-lithium-battery-charging-module-with-current-protection-type-c/
Switches,202,2.33256351,https://www.amazon.in/Electronicspices-Switchs-electronic-science-project/dp/B08TRDX6LW/ref=sr_1_3?s=industrial&sr=1-3
SH1106 Oled,220,2.540415704,https://ebhoot.in/shop-2/display-devices/1-3-inch-i2c-iic-4-pin-oled-display-module-with-vcc-gnd-blue/
SD card reader,25,0.2886836028,https://ebhoot.in/shop-2/electronics-modules/interfacing-modules/micro-sd-card-module-breakout-board/
MAX9814 Microphone Module,166,1.916859122,https://www.importdukan.com/max9814-high-performance-microphone-agc-amplifier-module?search=max9&description=true
Speaker 2W 4ohm,290,3.348729792,https://www.amazon.in/Invento-8944638610755-Loudspeaker-Speaker-Replace/dp/B06XFJGV9K/ref=sr_1_4?sr=8-4
PAM8403,51,0.5889145497,https://www.importdukan.com/pam8403-mini-5v-digital-amplifier-board-with-switch-potentiometer?search=pam84&description=true
10 Segment LED Bar Graph,70,0.8083140878,"https://www.amazon.in/cart/smart-wagon?newItems=3d17a9ca-eada-479b-af5a-62ccfd44ab0d,1&ref_=sw_refresh"
Buck Convertor (x2),35,0.4041570439,https://ebhoot.in/shop-2/electronics-modules/buck-boost-converters/lm2596-dc-dc-buck-converter-adjustable-step-down-power-supply-module/
WS2812 RGBIC LED Strip,289,3.337182448,https://www.amazon.in/AURECIS-Individually-Addressable-Non-Waterproof-Combinations/dp/B0F9FRZH69/ref=sr_1_8?sr=8-8
M3 Screw( pack of 10),120,1.385681293,https://www.amazon.in/Rpi-shop-Phillip-Phillips-Quantity/dp/B08FG7DL3T/ref=sr_1_1_sspa?sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY
Terminal Block,48,0.5542725173,https://www.importdukan.com/2-pin-5.08mm-pitch-pluggable-screw-terminal-block-connector-blue
3D Case,870,10,printing legion
Tax,296.5,3.408045977,
PCB,870,10,Rough Estimate
Misc. ,435,5,
,,0,
,,0,
Total,6369.5,73.41959332,
